"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202300000001";"4";"RUE DE RIVOLI";"0";"N/A";"1";"2";"0";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"30"
"202300000001";"4";"RUE SAINT FLORENTIN";"0";"N/A";"1";"1";"0";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"30"
"202300000002";"3";"120";"0";"N/A";"2";"3";"2";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"50"
"202300000003";"3";"5";"0";"N/A";"2";"4";"0";"1";"1";"0";"1";"";" -1";"2";"5";"1";"50"
"202300000003";"3";"87";"0";"N/A";"2";"4";"0";"1";"1";"0";"1";"";" -1";"2";"5";"1";"50"
"202300000004";"2";"6";"0";"N/A";"2";"4";"0";"1";"18";"1";"1";"";"12";"2";"0";"1";"50"
"202300000005";"4";"N/A";"0";"N/A";"1";"1";"0";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"30"
"202300000005";"4";"N/A";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"30"
"202300000006";"4";"N/A";"0";"N/A";"1";"1";"0";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"50"
"202300000007";"3";"7";"0";"N/A";"2";"4";"3";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"50"
"202300000008";"3";"130";"0";"N/A";"3";"4";"0";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"50"
"202300000008";"3";"N/A";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"50"
"202300000009";"3";"5";"0";"N/A";"3";"4";"0";"1";" -1";" -1";"1";"";" -1";"2";"5";"1";"50"
"202300000009";"3";"87";"0";"N/A";"1";"2";"0";"1";" -1";" -1";"1";"";" -1";"1";"5";"1";"50"
"202300000010";"3";"231";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"50"
"202300000011";"1";"CHAPIT RE ( RUE DU)";"0";"N/A";"1";"5";"0";"1";"18";"1 630";"1";"";" -1";"2";"3";"1";"70"
"202300000012";"1";"DOCTEUR VAILLANT";"0";"N/A";"1";"1";"0";"2";"14";"0";"1";"";" -1";"1";"3";"1";"50"
"202300000012";"1";"DOCTEUR VAILLANT";"0";"N/A";"4";"2";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202300000013";"3";"CROIZAT (AVENUE AMBROISE)";"0";"N/A";"2";"2";"0";"2";"0";"1";"1";"";"3";"2";"0";"1";"50"
"202300000014";"3";"LINDBERGH (CARREFOUR)";"0";"N/A";"1";"2";"0";"1";"0";"1";"1";"";" -1";"2";"0";"1";"50"
"202300000015";"3";"GALLIENI (AV.) DE 111 A 175";"0";"N/A";"3";"3";"0";"1";"0";"1";"1";"";" -1";"2";"0";"1";"50"
"202300000016";"3";"CLEMENCEAU GEORGES AVENUE N° PAIR";"0";"N/A";"2";"5";"1";"2";"0";"0";"1";"";" -1";"2";"5";"1";"50"
"202300000016";"3";"COTE RUE DE LA";"0";"N/A";"1";"1";"0";"2";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202300000017";"3";"VERDUN (RUE DE) N° PAIRS";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"30"
"202300000018";"3";"1083";"0";"N/A";"2";"4";"0";"3";"31";"650";"1";"";"14";"2";"0";"1";"90"
"202300000018";"3";"N/A";"0";"N/A";"2";"2";"0";"1";" -1";" -1";"1";"";" -1";"2";"0";"1";"80"
