"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202400000001";"203 988 581";"155 781 758";"A01";"1";"1";"3";"1";"2003";"2";"1";" -1";" -1";" -1";" -1";" -1"
"202400000001";"203 988 582";"155 781 759";"B01";"1";"1";"1";"1";"1997";"4";"1";" -1";" -1";" -1";" -1";" -1"
"202400000002";"203 988 579";"155 781 757";"A01";"10";"3";"3";"2";"1927";"5";"0";" -1";" -1";"3";"3";"1"
"202400000002";"203 988 580";"155 781 757";"A01";"1";"1";"1";"1";"1987";"4";"1";"0";" -1";"3";"3";"1"
"202400000003";"203 988 574";"155 781 756";"A01";"2";"2";"4";"2";"2007";"5";"8";"0";" -1";" -1";" -1";" -1"
"202400000003";"203 988 575";"155 781 756";"A01";"10";"3";"4";"1";"2007";"5";"0";" -1";" -1";"6";"B";"3"
"202400000003";"203 988 576";"155 781 756";"A01";"10";"3";"3";"2";"2008";"5";"0";" -1";" -1";"6";"B";"3"
"202400000003";"203 988 577";"155 781 756";"A01";"1";"1";"4";"2";"2007";"5";"8";"0";" -1";" -1";" -1";" -1"
"202400000003";"203 988 578";"155 781 756";"A01";"10";"3";"1";"1";"2007";"5";"0";" -1";" -1";"6";"B";"3"
"202400000004";"203 988 573";"155 781 754";"B01";"1";"1";"4";"1";"1963";"5";"2";"6";" -1";"0";"0";" -1"
"202400000005";"203 988 569";"155 781 750";"A01";"1";"1";"4";"1";"1981";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400000005";"203 988 570";"155 781 751";"B01";"1";"1";"4";"2";"2005";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400000005";"203 988 571";"155 781 752";"C01";"1";"1";"1";"1";"2000";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400000005";"203 988 572";"155 781 753";"D01";"1";"1";"4";"2";"1963";"0";"8";"0";" -1";" -1";" -1";" -1"
"202400000006";"203 988 563";"155 781 748";"A01";"1";"1";"4";"1";"1975";"1";"1";"8";" -1";" -1";" -1";" -1"
"202400000006";"203 988 564";"155 781 749";"B01";"2";"2";"1";"1";"1981";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400000006";"203 988 565";"155 781 749";"B01";"4";"2";"1";"1";"1983";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400000006";"203 988 566";"155 781 749";"B01";"3";"2";"1";"1";"1984";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400000006";"203 988 567";"155 781 749";"B01";"5";"2";"1";"1";"2007";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400000006";"203 988 568";"155 781 749";"B01";"1";"1";"1";"1";"1987";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400000007";"203 988 558";"155 781 746";"A01";"4";"2";"3";"1";"2001";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400000007";"203 988 559";"155 781 746";"A01";"2";"2";"3";"1";"2001";"5";"1";"0";" -1";" -1";" -1";" -1"
