"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202300000001";"155 680 557";"A01";"1";"30";"0";"0";"5";"1";"1";""
"202300000002";"155 680 556";"A01";"2";"7";"0";"1";"1";"1";"1";""
"202300000003";"155 680 554";"B01";"1";"2";"0";"2";"1";"16";"1";""
"202300000003";"155 680 555";"A01";"2";"7";"0";"2";"2";"15";"1";""
"202300000004";"155 680 551";"B01";"1";"7";"0";"2";"9";"2";"4";""
"202300000004";"155 680 552";"C01";"1";"7";"0";"2";"4";"0";"4";""
"202300000004";"155 680 553";"A01";"1";"10";"0";"2";"1";"2";"1";""
"202300000005";"155 680 549";"B01";"1";"7";"0";"2";"2";"1";"1";""
"202300000005";"155 680 550";"A01";"1";"7";"0";"2";"3";"1";"1";""
"202300000006";"155 680 548";"A01";"1";"7";"0";"1";"3";"15";"1";""
"202300000007";"155 680 545";"C01";"2";"10";"0";"2";"1";"1";"0";""
"202300000007";"155 680 546";"A01";"2";"7";"0";"2";"4";"23";"2";""
"202300000007";"155 680 547";"B01";"2";"7";"0";"2";"1";"1";"1";""
"202300000008";"155 680 543";"B01";"2";"7";"0";"2";"1";"1";"1";""
"202300000008";"155 680 544";"A01";"3";"7";"0";"2";"2";"1";"2";""
"202300000009";"155 680 541";"A01";"2";"7";"0";"2";"2";"15";"0";""
"202300000009";"155 680 542";"B01";"1";"32";"0";"2";"1";"1";"0";""
"202300000010";"155 680 540";"B01";"1";"7";"0";"1";"1";"1";"1";""
"202300000011";"155 680 538";"A01";"2";"7";"0";"2";"5";"26";"1";""
"202300000011";"155 680 539";"B01";"2";"7";"0";"2";"2";"1";"1";""
"202300000012";"155 680 536";"B01";"2";"36";"0";"2";"2";"1";"1";""
"202300000012";"155 680 537";"A01";"3";"33";"0";"2";"0";"0";"1";""
"202300000013";"155 680 534";"A01";"0";"10";"0";"2";"5";"4";"1";""
"202300000013";"155 680 535";"B01";"0";"50";"0";"2";"8";"1";"3";""
"202300000014";"155 680 533";"A01";"2";"7";"4";"0";"3";"1";"1";""
"202300000015";"155 680 531";"A01";"2";"7";"0";"2";"1";"1";"1";""
"202300000015";"155 680 532";"B01";"2";"7";"0";"2";"4";"1";"1";""
"202300000016";"155 680 529";"A01";"1";"7";"0";"2";"8";"11";"2";""
"202300000016";"155 680 530";"B01";"1";"7";"0";"2";"2";"1";"1";""
"202300000017";"155 680 527";"B01";"2";"1";"0";"2";"1";"13";"5";""
"202300000017";"155 680 528";"A01";"1";"7";"0";"9";"1";"15";"1";""
"202300000018";"155 680 525";"A01";"2";"7";"0";"2";"1";"15";"1";""
